Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Fire and Emergency Services,24000010295,58573.27,WITMER PUBLIC SAFETY GROUP INC,Cooperative Agreement,Req 240010452 Fire Logistics HGAC COOPERATIVE CONTRACT EE08-19 7% OFF LIST PRICE - NXTBUNDLE - BULLARD NXT THERMAL IMAGER W/BLACK LOWER I RED UPPER HOUSING W/XTTTRUCKMOUNT,Equipment - Non Technology,04/22/2024 12:00:00 AM,07/31/2024 12:00:00 AM
Information Technology,24000010298,175000.00,J T WILLIAMS COMMUNICATIONS LLC,Invitation to Bid,"IFB Requisition240006884/Network Cabling and Wiring Services/5-yr term, 3 one-yr renewal options","Non Professional Services, Technology",07/25/2024 12:00:00 AM,07/24/2029 12:00:00 AM
Information Technology,24000010299,700000.00,"WePullCable, LLC",Invitation to Bid,"IFB - Requisition 240006884/Network Cabling and Wiring Services/5-year term, 3 one-year renewal options","Non Professional Services, Technology",05/22/2024 12:00:00 AM,05/21/2029 12:00:00 AM
Police Department,24000010388,5000000.00,Modaxo Traffic Management USA Inc.,Request for Proposal,Previous Agreement # 24000003911 - RFP 230008175 - RFP RED LIGHT PHOT ENFORCEMENT PROGRAM - Initial 5-year term with 5 one (1) year renewal option,Equipment - Technology,10/19/2023 12:00:00 AM,10/20/2028 12:00:00 AM
Police Department,24000010395,5000000.00,Modaxo Traffic Management USA Inc.,Request for Proposal,Previous Agreement 24000002708 - RFP 230011734 - PHOTO SPEED ENFORCEMENT EQUPMENT AND SERVICE - Initial 5-year term with 5 one (1) year renewal option,Equipment - Technology,09/13/2023 12:00:00 AM,09/14/2028 12:00:00 AM
Finance,24000010403,100500.00,"UMB Bank, N.A.",Small Purchase,UMB Bank Custody Service Agreement,"Non Professional Services, Non Technology",05/03/2024 12:00:00 AM,05/03/2027 12:00:00 AM
Public Utilities,24000010745,161828.00,72 Hour LLC,Cooperative Agreement,"Req 240009928 / DPU / Co-op, Sourcewell Contract 091521 / 2 New 2023 Ford E-Transit Cargo Van.","Supplies, Non Technology",05/01/2024 12:00:00 AM,11/08/2025 12:00:00 AM
Public Utilities,24000010769,222620.50,XYLEM DEWATERING SOLUTIONS INC,Cooperative Agreement,DPU / Req 240011306 Cooperative - HGAC Contract #CM02-21 /,"Non Professional Services, Technology",05/10/2024 12:00:00 AM,01/31/2025 12:00:00 AM
Public Works,24000010964,370071.26,SIMONS CONTRACTING CO,Invitation to Bid,IFB - 240006070 - Replacement of Five (5) Fire Station Aprons - Term of the contract is for 120 consecutive days from the Notice to Proceed,Construction - Capital/Non-Capital,06/10/2024 12:00:00 AM,10/07/2027 12:00:00 AM
Public Works,24000011052,770516.11,"Jeffrey Stack, Inc.",Invitation to Bid,IFB 240009124 / VDOT / DPW / State Rte 161 Bike Lanes Phase I & II,Construction - Capital/Non-Capital,05/20/2024 12:00:00 AM,12/31/2026 12:00:00 AM
Public Works,24000011225,586328.00,MESSER CONTRACTING LLC,Invitation to Bid,Req# 240009841 / IFB - VDOT / DPW / Canal Walk Improvements - Phase II (UPC No. 113492),Construction - Capital/Non-Capital,05/24/2024 12:00:00 AM,05/23/2027 12:00:00 AM
Public Utilities,24000011369,77175.25,XYLEM DEWATERING SOLUTIONS INC,Cooperative Agreement,Req 240011172 -(Cooperative Procurement) FY24 Xylem Dewatering Solutions purchase of Godwin Heidra Power Pack and Pump (Big Red) (HGAC Contract#CM02-21),"Supplies, Non Technology",05/17/2024 12:00:00 AM,01/31/2025 12:00:00 AM
Public Utilities,24000011567,99715.00,APPLIED INDUSTRIAL TECHNOLOGIES,Cooperative Agreement,Requisition #240011992; DPU; Maintenance and repair - WWTP; Co-Op (Maricopa County/Omnia #16154-RFP),"Non Professional Services, Non Technology",07/22/2024 12:00:00 AM,12/31/2026 12:00:00 AM
Public Works,24000011618,5197937.45,A & A Contractors LLC,Invitation to Bid,"Req# 240010229 / IFB / DPW / 2 Inch Mill an Overlay Paving / 1 Year Initial Term, 4 Optional 1 Year Renewal Terms",Construction - Term,07/01/2024 12:00:00 AM,06/30/2025 12:00:00 AM
Public Works,24000011632,13110117.09,COLONY CONSTRUCTION INC,Invitation to Bid,"Req# 240010229 / IFB / DPW / 2 Inch Mill an Overlay Paving / 1 Year Initial Term, 4 Optional 1 Year Renewal Terms",Construction - Term,07/01/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Public Works,24000011634,15000000.00,Lee Hy Construction LLC,Invitation to Bid,"Req# 240010229 / IFB / DPW / 2 Inch Mill an Overlay Paving / 1 Year Initial Term, 4 Optional 1 Year Renewal Terms",Construction - Term,07/01/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Public Works,24000011636,4945938.52,A & A Contractors LLC,Invitation to Bid,"Req# 240010231 / IFB / DPW / 1 Inch Mill an Overlay Paving / 1 Year Initial Term, 4 Optional 1 Year Renewal Terms",Construction - Term,07/01/2024 12:00:00 AM,07/03/2025 12:00:00 AM
Public Works,24000011637,3000000.00,COLONY CONSTRUCTION INC,Invitation to Bid,"Req# 240010231 / IFB / DPW / 1 Inch Mill an Overlay Paving / 1 Year Initial Term, 4 Optional 1 Year Renewal Terms",Construction - Term,07/01/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Public Works,24000011639,6000000.00,Lee Hy Construction LLC,Invitation to Bid,"Req# 240010231 / IFB / DPW / 1 Inch Mill an Overlay Paving / 1 Year Initial Term, 4 Optional 1 Year Renewal Terms",Construction - Term,07/01/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Public Utilities,24000011809,1688000.00,ENGLISH CONSTRUCTION CO INC,Invitation to Bid,IFB - 240009883 - (ARPA Funds) CSO 024 & 039 Improvements [WO#107541] - Duration 330 consecutive days,Construction - Capital/Non-Capital,06/14/2024 12:00:00 AM,05/09/2025 12:00:00 AM
Finance,24000012011,1339828.00,Housing Opportunities Made Equal of VA Inc,Request for Proposal,City of Richmond Employee First-time Homebuyer’s Assistance Program 4-2 yr renewals,"Non Professional Services, Non Technology",06/11/2024 12:00:00 AM,12/31/2026 12:00:00 AM
Public Works,24000012335,891529.99,"Brightly Software, Inc",Cooperative Agreement,Requisition #240010772 - DPW - Predicator Project Cloud Services - Sourcewell Contract #090320-SDI,"Non Professional Services, Technology",06/14/2024 12:00:00 AM,06/30/2027 12:00:00 AM
Public Works,24000012338,1698925.00,Lee Hy Construction LLC,Invitation to Bid,IFB # 240008416 is for VDOT State of Good Repair Projects: - UPC121676; UPC121677; UPC121678 & UPC 121679,Construction - Capital/Non-Capital,07/15/2024 12:00:00 AM,11/19/2024 12:00:00 AM
Information Technology,24000012439,682279.00,COMCAST COMMUNICATIONS,Cooperative Agreement,Requisition 240013279/ Comcast / VITA Contract: VA-191201-CCBC telecommunications and internet service:,"Non Professional Services, Technology",06/13/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Emergency Communication,24000012448,183647.20,Law and Order Technology LLC,Cooperative Agreement,"COOP Agreement: Sourcewell Contract Number 090122-PNA: RS - Law and Order Tech (RPD) - MDTs to inc service, support, keyboards, chargers for RPD Vehicles",Equipment - Technology,06/17/2024 12:00:00 AM,11/07/2026 12:00:00 AM
Finance,24000012493,1788550.00,CORVEL ENTERPRISE COMP INC,Request for Proposal,"RFP # 230014198 Administration Services Workers’ Compensation, General Liability, and Automobile L","Non Professional Services, Non Technology",10/01/2024 12:00:00 AM,09/30/2029 12:00:00 AM
Public Works,24000012520,308311.75,"Jeffrey Stack, Inc.",Invitation to Bid,IFB 240011315 / VDOT / DPW / 2nd & 3rd St Bike Infrastructure Phase II / Performance time is 90 days from Notice to Proceed / Current completion date of 5/5/2025,Construction - Capital/Non-Capital,07/01/2024 12:00:00 AM,06/30/2025 12:00:00 AM
Public Utilities,24000012525,555430.40,UNIVAR SOLUTIONS USA INC,Invitation to Bid,IFB #240010468 - Aqua Ammonia Chemical - DPU - Initial Two-Year term with Three One-Year Renewals and 1 Extension.,"Non Professional Services, Non Technology",07/23/2024 12:00:00 AM,07/22/2026 12:00:00 AM
Public Utilities,24000012561,786244.00,Peterbilt of Richmond,Cooperative Agreement,Requisition 240011492 High Priority) Coop Procurement (Sourcewell & Peterbuilt Motors Co Contract# 060920-PMC) Purchase of(1)- 2025 Peterbuilt 548 Cab Peterbilt of Richmond DPU/Shawn.Hall,Equipment - Non Technology,08/20/2024 12:00:00 AM,08/01/2025 12:00:00 AM
Public Works,24000012575,125350.00,SIMONS CONTRACTING CO,Small Purchase,Requisition# 240011335 / Request for quotes / DPW / Sidewalk repair / 90 Calendar days /,Construction - Capital/Non-Capital,08/08/2024 12:00:00 AM,11/06/2024 12:00:00 AM
"Parks, Recreation and Community Facilities",25000000384,485900.00,Landscape Structures Inc,Cooperative Agreement,Req 240013373 / Parks & Rec / Cooperative - Sourcewell 010521 / Calhoun Splash Pad,Equipment - Non Technology,07/09/2024 12:00:00 AM,02/17/2026 12:00:00 AM
Emergency Communication,25000000749,500000.00,Lumin8 Technologies Services LLC,Invitation to Bid,ARPA Traffic CCTV Installations,"Non Professional Services, Non Technology",07/31/2024 12:00:00 AM,07/30/2027 12:00:00 AM
Public Works,25000001029,6336202.65,FLB Contractors Inc,Invitation to Bid,IFB 240011527 / DPW / E. Richmond Rd Bridge Replacements / 540 Day Period of Performance,Construction - Capital/Non-Capital,07/29/2024 12:00:00 AM,07/28/2027 12:00:00 AM
City Wide,25000001205,2000000.00,CINTAS CORP NO 2,Cooperative Agreement,Citywide Cooperative / OMNIA-PWCPS Contract # R-BB-19002,"Non Professional Services, Non Technology",08/01/2024 12:00:00 AM,10/31/2027 12:00:00 AM
